MEsienna3	MEpurple	MEyellow	MEcyan	MEdarkmagenta	MElightgreen	MEgreenyellow	MEgrey60	MEdarkgrey	MEpink	MEblue	MEdarkgreen	MEskyblue3	MEblack	MEmidnightblue	MEskyblue	MEdarkred	MElightcyan	MEorange	MEsaddlebrown	MEsalmon	MEsteelblue	MEdarkolivegreen	MEpaleturquoise	MEbrown	MEgreen	MEturquoise	MEplum1	MEorangered4	MEtan	MEwhite	MEviolet	MEroyalblue	MEmagenta	MEred	MElightyellow	MEyellowgreen	MEdarkorange	MEdarkturquoise	MEgrey
TCGA.MP.A4SV.01A	-0.00955374357290332	-0.00470881506963203	-0.0119938257310093	0.0415978943638703	-0.00974004605824013	-0.00729831289200903	0.0278043226090557	0.0396474880414692	0.0227322146902766	0.000624199965066355	-0.0308551483786715	-0.0345667259421225	0.0369189750304712	-0.0131522008481227	0.032841564557132	0.00668508845898439	0.0366728345522363	-0.00414802025209228	-0.0135595568349124	-0.0220558824744628	0.0252698744596297	-0.0046862351364601	0.00328043246666221	-0.013530527594812	0.056495562909937	0.00705007801015049	0.0248590042891995	0.0505742238689842	4.22226274812158e-05	-0.0203627852230963	-0.0146044150056729	-0.0120816385848192	0.0571086256629975	-0.00145043871934364	0.0303163119514157	-0.00225210011206029	0.026697821520432	-0.0225823741261578	0.00360950736770733	-0.0222207826041513
TCGA.05.4397.01A	-0.065493537880059	0.0398652153195763	0.0443534196035188	-0.0260728477536099	-0.0200924050875931	-0.0148326542712131	-0.0008887083321845	0.00248058365420067	-0.0835031943781102	-0.0190088216264264	-0.0306163753029844	-0.0619616457131855	0.06821735111412	-0.00883169291406143	-0.043108487097374	0.0323622698370792	-0.0261705136708938	-0.026126018228242	-0.0618602669299118	-0.047513832226058	-0.0387944990460447	0.00211737361134506	0.0367307846732453	-0.0209976117362384	0.00117435735839101	-0.0351543903069062	-0.0186522476739161	0.0774258263504349	-0.0201548825825301	-0.0100310951739288	-0.0207388846560712	0.0656080179804528	0.0542538703615075	0.0380788544275458	0.0725666852232944	0.0040786379062531	0.0110659596411822	0.0527791221166668	0.00980651191470843	0.0480159961967895
TCGA.73.4659.01A	-0.0315582028262278	0.0107168895510509	0.0170008095257743	0.00285101691719253	-0.0117959461264817	0.00820006602797344	0.0193083888375899	0.00237261118137717	0.0121560497468156	-0.011181458896136	0.0061336732594574	0.0143044719199081	-0.0527763978215658	0.00645247310951109	-0.0444339706307829	-0.0473889990373628	-0.0134496030225301	0.0200193873076121	0.00343877047509188	0.0197104652931876	-0.00909193230970437	0.0157270333685881	-0.0209513402783422	-0.0589116652839594	-0.0178398326115386	-0.030984570120284	-0.0214144344973017	0.0523208860342779	-0.00331661137998552	-0.0211697485313822	-0.0292280378514801	0.0104562387143704	-0.0270969979572022	0.014856279154452	0.00917023823749495	0.106465803167145	0.0574724303071822	0.0342425999806497	-0.0156843717694945	0.0324945199007559
TCGA.55.6982.11A	-0.0191843183233504	-0.0338897149765601	-0.0596700548499323	0.00807745425297671	0.00156884754627321	0.0300163834383875	-0.0284161965102676	-0.0110891921766694	0.0216588443628964	0.0903828558163465	0.0988762986172082	0.0511568056791852	0.0277709740971035	0.057520676969966	0.0366703485591374	0.0332694542722319	-0.0447266147197145	-0.0379320460007653	0.0374666019952369	0.00815519340444545	0.0117307601786088	-0.0521337991461895	-0.0362807722268556	0.0167241339695973	0.0143470683773529	0.0781233415188605	0.0164045038639142	-0.0392741166913848	-0.0462427242737381	-0.0408659527346341	-0.0342606670069655	-0.0123128057980844	-0.030135086183021	-0.0692872748215875	-0.068100963174609	-0.0312773936958014	-0.0334590413918543	-0.0367905179482072	-0.0277995630383866	0.0260172426383601
TCGA.91.A4BD.01A	0.124041595317157	0.0988682674595561	0.0533848792879171	-0.06729602724511	0.0398780998465548	0.00630252982157855	-0.0330884930993693	0.0466083369724151	0.0644102665772567	0.088460755757632	-0.00481387708201377	-0.0768786316958472	0.0584502828411071	0.0201236884198516	-0.0208604311131631	0.00762534580373175	-0.00378244846052162	-0.0985931494430731	-0.0594677505095815	0.0281576181306187	-0.0773063754589111	-0.0769881373436432	-0.0115919150824549	-0.00354609555220631	0.0259894375592288	0.0247160656317738	-0.0221167903288926	0.0581408076624673	-0.0146286137300586	0.0138321181426181	0.0171213260746243	-0.0467251774029123	-0.0371002153207295	-0.0172435251901376	-0.0581898865918552	-0.0358173043605774	-0.0571660046002324	-0.023037830681678	-0.00114955576461322	-0.0229950192690606
TCGA.67.3773.01A	0.0807877253324914	0.0587981387433233	0.0477891972385447	-0.117677013186038	-0.0341453433923897	-0.014607997223105	-0.0667168867326954	-0.0189668557736071	0.0754755229083143	-0.0378013666325788	0.00940928363806855	0.00201949128291129	0.00282609516741204	0.0262748141239048	0.0174638547842691	0.0504219436166776	0.00371067466459217	-0.0183645977838348	-0.00394838650661627	0.0076115407412342	-0.0864086980359093	-0.0552982034135989	-0.00959820775052473	0.0160357602118708	-0.00909064288081707	0.0240587823418209	-0.0214922746883142	-0.0358921257903605	-0.0332537727398758	0.100926092471019	0.0724738649049347	-0.0063705004992705	-0.0304243136383864	0.0281269089822449	-0.0555402248683667	-0.0427674164945439	-0.0437094171364508	-0.0321652229368008	-0.0305642908072273	-0.0271950277002233
TCGA.97.8175.01A	-0.00727860323271313	-0.00747723560125518	0.0223664578861013	-0.0201131162980506	0.00852255975038958	0.0179664503061558	0.0152434797663873	0.0188956791484429	-0.00381513765834036	-0.0394452409862782	-0.0330058367433386	-0.059667952224379	0.0462279390244278	0.00839415520654058	-0.017553133930853	0.00270873220638647	-0.0532757434952381	-0.0220245808581315	-0.0263441782189655	-0.0307859602208945	-0.0326482314756733	-0.0443094546834465	-0.0285029577691147	0.0291402957404023	0.00782686939323896	-0.0181715930369175	-0.00607493123090739	-0.0371995490676412	0.037357838978736	0.00988699574212298	0.00634297500497881	0.0383331743785264	-0.0299734327317098	-0.0066541564715704	0.00712918915314551	-0.0285327698457112	-0.0392373650482347	-0.0172512344769551	-0.000379632457408782	-0.066735840070883
TCGA.50.8460.01A	0.0624368077328475	0.0442632945858303	0.0178527085095778	-0.000367024126365003	0.0428647609062516	0.0451387719059391	0.0141475343034056	0.0348088910538007	0.0525434078305904	0.0182877469222364	0.0179010631118106	0.00107004619870336	-0.037047658317958	0.00765114017597973	0.0312147785159247	-0.010426690875816	0.0583677059107818	-0.0230188039071199	-0.0671068551012805	-0.0245852214876655	-0.0435628047793234	-0.0279021774185265	-0.00875416017537572	-0.00945972173686408	0.0015276520003936	0.0113594029778424	-0.0204866678506604	0.0658715429698887	0.00308699213980104	-0.0192715096503883	-0.0263754532716754	0.000670505992644841	-0.0334271541939858	-0.043908348659441	-0.0496734395082032	-0.0270140467832101	-0.0379682283787332	-0.0231903611903328	-0.0253065499775445	-0.0351025923240107
TCGA.78.7540.01A	-0.0393309042203414	-0.010586360955269	0.0133702563447436	-0.0223143551436211	0.0532338143351499	0.0541667717652515	0.0198983915232917	0.00637146472946906	-0.0175519952858736	0.0346259777577029	0.00829146522877525	-0.039345626146176	0.0246411145447088	-0.0172745850609695	-0.0493361643542534	0.00324937116545407	-0.0442071722053415	-0.0504504474657485	0.0215124138590129	0.0134281220117357	-0.0189857423505696	-0.0191164404638748	0.0339209476385692	-0.0432285901666464	-0.0205326190774172	-0.0118286148484693	-0.0187794116577561	-0.0374932225408572	0.0150675111194525	-0.0355767051093717	-0.0392414601781738	-0.0478773027243257	-0.0256997529945148	-0.0205350163929495	-0.0348031760016161	-0.0205850958435534	-0.00263104030415513	0.00162961299174463	0.26078873315586	-0.0332399480437824
TCGA.50.5946.01A	-0.0157741627598092	0.0180853580580156	-0.00396981835278865	0.059081604382718	0.0185931125397588	-0.0154714807733884	0.0365150818671449	0.0346834096188271	-0.010003319038182	0.0121413636572984	-0.0490675768241888	-0.0644031825302726	0.00821643635779817	-0.0817333785816309	-0.0676337686334486	-0.0667726376439595	-0.0293306074058463	-0.0350526411051248	-0.0108765541773925	-0.0159898295294369	0.0436787470533171	0.0378352846976611	0.0532245468560637	0.110491538715725	0.0458651550414402	-0.0159279482637293	0.0293098999944841	-0.00360671534447259	0.0167916484922379	0.0380207579053021	0.0355186023946517	-0.124800424704576	0.158835623270372	-0.00904434461450957	0.0606594227341121	-0.00998667091479306	0.0590104961810841	-0.0394404855693761	-0.00907132988288326	0.0267115787893714
