baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RASIP1	681.906232519256	2.3590241895575	0.134195871954812	17.5789624166074	3.57050522648855e-69	7.68731132869536e-67
RXFP1	101.938929460063	3.15836163990985	0.179704085507673	17.5753468875642	3.80555637702805e-69	8.13154053935232e-67
CAV1	12710.3446991938	3.41682403413686	0.194450733507726	17.5716695560889	4.06044973112032e-69	8.61119496535419e-67
GYPE	36.7409332262896	3.27244059960602	0.186679721997723	17.5297057687172	8.50082138069011e-69	1.78940709985203e-66
SERINC1	9720.65822507707	1.18369071113268	0.0675933106388489	17.5119505161856	1.16145242181755e-68	2.42679269125449e-66
GPD1	550.226381594056	4.04024818076117	0.230867727755806	17.5002726454458	1.42585011509877e-68	2.96828444549091e-66
CD93	5626.84221249746	2.25942983506008	0.129224964682145	17.4844685825034	1.88158857375578e-68	3.88843326278641e-66
SLC39A8	8192.27933450301	2.49925914939698	0.142999828328431	17.4773576906462	2.13149891783404e-68	4.38887253539763e-66
SGCG	42.0645809360932	3.83508775131173	0.219539156099867	17.4688097533142	2.47606430735793e-68	5.07987917897955e-66
TMEM204	994.671230698343	1.98664701282064	0.113778151832244	17.4607073575055	2.85376064293248e-68	5.83362247817361e-66
EMCN	932.685311704961	2.78488907147172	0.159578145185837	17.4515693751709	3.34903295493822e-68	6.82142597267703e-66
AOC3	3557.15880632422	2.68958286524057	0.15416072361776	17.4466154680836	3.65243799293643e-68	7.4127472728327e-66
SOX17	169.417459693043	2.7977188892049	0.160427785299521	17.439116821201	4.16459860987921e-68	8.42200827449288e-66
C14orf132	1063.94938262906	2.69715990720087	0.15487924043829	17.4145992682313	6.39349828622809e-68	1.27026472617326e-65
RHOJ	622.960299001168	1.90765581070667	0.109990686484043	17.3437940219004	2.19741658185963e-67	4.29056953555931e-65
CASKIN2	1863.72784451534	1.75642282627631	0.101370729579533	17.3267257083146	2.95690820020406e-67	5.73397157288886e-65
PTPRB	2286.57178122189	2.60549713437864	0.150512468357495	17.3108391803801	3.89693676684269e-67	7.48000499951526e-65
HIGD1B	135.366435021481	2.80462470214507	0.16233534478807	17.2767348097022	7.04236188854367e-67	1.3471847958679e-64
ST8SIA6	262.734331380845	3.5767159440311	0.207500198394738	17.2371687916507	1.39713679570994e-66	2.63704913067599e-64
AP001189.1	31.0466001930975	3.156851763855	0.183286645431774	17.2235776175526	1.7671879665274e-66	3.30248354510388e-64
RSPO1	59.4985181743637	3.67489577566638	0.214246588835888	17.1526454429636	6.00551994500274e-66	1.08992487617255e-63
TNS1	15063.9924107704	2.18621457373668	0.127694191669907	17.120704905577	1.04008240534057e-65	1.86372234556976e-63
HBA2	914.243783880105	4.23047876935689	0.248821176332094	17.0020849178472	7.92504499148793e-65	1.397968061053e-62
ADPRH	846.647031703163	1.62529453982177	0.0956396823069984	16.9939349506062	9.10694604619248e-65	1.60146494695529e-62
FAM110D	102.056720884522	2.36887569009084	0.139451014564692	16.9871527825415	1.02232711039653e-64	1.78667439194732e-62
LMCD1	1846.18213963901	1.79810427587677	0.105982944880521	16.9659776665373	1.46638626752249e-64	2.53922495450134e-62
CMTM2	21.2468264998429	2.41685374671078	0.14271425598989	16.9349146653015	2.48718816314404e-64	4.22136570318503e-62
INMT	2325.05581823919	3.59384886334179	0.212216183642748	16.9348482366067	2.48999743017766e-64	4.22136570318503e-62
GSTM5	192.647913132586	2.54605252094093	0.150358395235784	16.9332248920876	2.55964009177952e-64	4.32647941960966e-62
EFCC1	289.127106827349	2.6394685399296	0.156050383983884	16.9142072742492	3.53541764119424e-64	5.95802049151735e-62
NMUR1	75.573682190738	2.72871200226717	0.162476741352837	16.7944776559831	2.67852157267667e-63	4.40897109102454e-61
GIMAP6	1396.83532501683	2.12758132955785	0.126744228581195	16.7864158658307	3.06823612024741e-63	5.02126595586386e-61
STXBP6	384.436047417892	3.5699125399326	0.213233487161153	16.7418006780268	6.49920215302163e-63	1.04252357708979e-60
CAVIN1	11508.7213686676	2.10890389253798	0.125986866943287	16.7390772046686	6.80347227518926e-63	1.08824806245852e-60
GPR146	47.7041027938069	2.13445528498795	0.127823590305719	16.698445724165	1.34523572182044e-62	2.1159063197878e-60
HBB	5419.2229082142	4.33204688488394	0.259495784823983	16.6940934621439	1.44700315904123e-62	2.26932394882079e-60
GLIPR2	2213.85381725991	2.24044976210281	0.134476436395125	16.6605378768353	2.53732291517883e-62	3.92550198767995e-60
PLPP3	2647.00679577461	1.42704088865201	0.0857695048460023	16.6380917228593	3.69197392951584e-62	5.63488764918882e-60
JPH4	76.4509875459594	2.63179298266771	0.158181307826563	16.6378254095188	3.7084279674023e-62	5.64478562435988e-60
TNNC1	652.080032015848	3.5985352756544	0.216482538963484	16.6227506979738	4.76932542858685e-62	7.24016844687137e-60
LINC00656	6.36664731935599	3.57178669580002	0.21491011349981	16.6199097735956	5.00078311137272e-62	7.57123911492966e-60
ADARB1	1276.75274117233	1.78540631821006	0.107447971547755	16.6164730007633	5.29579340210964e-62	7.99650681602817e-60
GIMAP1	362.372457427193	2.07768714285873	0.125040596722943	16.6161006689878	5.32877738115057e-62	8.02491197952845e-60
SLIT2	1630.21176768107	2.48704122504299	0.149714263666172	16.6119190258886	5.71357881118698e-62	8.58158319906237e-60
NLRC4	266.131334848454	2.10325564824444	0.126950407262863	16.5675376203359	1.19625051689537e-61	1.78253919128114e-59
ARHGAP31	2391.43343231505	2.15399871263765	0.130070096301643	16.5602915188311	1.34938675399822e-61	2.00545080205761e-59
CLIC5	3406.90498760637	3.63711451816403	0.219636987398355	16.5596631116025	1.36355371560156e-61	2.02120066995347e-59
NECAB1	193.124366468539	3.21636657092817	0.194775996769433	16.5131567763741	2.95038095962649e-61	4.31685714361473e-59
GPIHBP1	416.070175239021	3.80964124467046	0.230782947251909	16.5074642214014	3.24223353304823e-61	4.71949181427565e-59
MIR3945HG	23.7694691253414	3.43729728838751	0.208295906570388	16.5019915416627	3.5498904214562e-61	5.15407680062912e-59
AC084880.1	26.3689325960889	2.5002692276969	0.151527442361584	16.5004383940607	3.64238614971921e-61	5.27484586551664e-59
SCUBE1	361.734485384238	3.61076781323027	0.219103224238519	16.4797566342499	5.12909059717791e-61	7.31560770716882e-59
AP001189.3	28.7730780511339	2.55841968575778	0.155258599059538	16.4784411379152	5.24190937727355e-61	7.45773559243058e-59
AL445307.1	4.23052136924882	3.55727598007347	0.216325799953379	16.4440671470537	9.24976233127616e-61	1.30613102804534e-58
PELATON	812.630256944573	2.55484036575187	0.155493200038684	16.4305600831179	1.15586429207175e-60	1.62406103410101e-58
DENND3	2595.38179938366	1.76175932425283	0.107310349724498	16.4174222596037	1.43536325879199e-60	2.00681504113179e-58
BMPR2	5717.30619389528	1.37131635675799	0.08356123842762	16.4109147083287	1.59779982221736e-60	2.2284191412127e-58
HEG1	4745.54453075702	2.14484443519216	0.130742794520209	16.4050680044217	1.75929642817096e-60	2.44762655893741e-58
HBA1	19.6403660030833	4.48322896910305	0.274351880581023	16.3411636166242	5.02840248754328e-60	6.9445917671866e-58
TGFBR3	1097.49190760929	2.67548846047389	0.163909950669548	16.3229166352922	6.78165921745941e-60	9.320501736151e-58
SNRK	1412.43866146558	1.20332562254018	0.0737370832785293	16.3191377938672	7.21474027416749e-60	9.89170589066489e-58
LTBP4	6007.7509075327	2.25013889866301	0.137894473629893	16.3178323208394	7.37067246374799e-60	1.00810859320596e-57
MCEMP1	786.121943937289	4.09087271015784	0.250740090810031	16.3151919461385	7.69638917123605e-60	1.05012130224595e-57
PPP1R15A	4818.17453061815	1.85623483058207	0.113840489829896	16.3055766305619	9.00847627405068e-60	1.22325170393728e-57
LHFPL6	1575.08498246047	1.74036099162516	0.1067516263174	16.3028990907419	9.41198802969327e-60	1.27498662725682e-57
AC093890.1	15.6636096635587	2.73210449805525	0.167745404003343	16.2872092638723	1.21655296815465e-59	1.64405955295439e-57
IL3RA	610.605631547661	1.75006033205946	0.107581808029245	16.2672515373949	1.68555513016172e-59	2.26705163159803e-57
LANCL1-AS1	55.7287093924279	3.55415295584587	0.218685279591137	16.2523648710643	2.1491191369546e-59	2.87008778327635e-57
SCN4B	430.784517877217	2.87533716259998	0.176994677009425	16.2453312787868	2.4103584607773e-59	3.2113914701895e-57
ANOS1	2477.51490070728	2.83217589374915	0.174395700763928	16.2399410154207	2.63177086281245e-59	3.49815477314301e-57
CMTM5	5.39971928958025	3.08010100959414	0.189664311921991	16.239750000311	2.63997825904983e-59	3.50084611101727e-57
PEAK1	2542.41641418286	1.67050735456307	0.102913296942572	16.2321818870039	2.98652042757339e-59	3.95113861427372e-57
RAI2	587.017961277616	2.19261165730973	0.135537302740483	16.177182317904	7.30623572095613e-59	9.53244911206036e-57
SESN1	956.058764396403	1.6626776848456	0.102882106527895	16.1609996233386	9.50084726010951e-59	1.23106630493465e-56
BTNL9	576.347282083839	3.51754754154909	0.217872920194951	16.1449506363692	1.23247071096107e-58	1.59332012642602e-56
NOTCH4	1258.6770689564	1.89197680115867	0.117393997685552	16.1164696531288	1.95461192123945e-58	2.50402591466657e-56
HBEGF	1817.45991690436	2.59253158858886	0.161098821935427	16.0928028985092	2.86564823607316e-58	3.63821672016607e-56
LDLR	5772.56817984301	2.17608496780898	0.13534045246681	16.0785997692939	3.60433810475959e-58	4.54547975153468e-56
