baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IGSF9	1238.25783816857	-3.23553270169864	0.174320622635199	-18.5608142788111	6.66861976065255e-77	1.91677119455426e-74
MKI67	3410.62290222995	-3.14979813299643	0.170065596347868	-18.5210777525722	1.39614028131416e-76	3.97261544166498e-74
FER1L4	822.303343619521	-4.09098585860797	0.221196038768658	-18.494842318974	2.27205613440695e-76	6.43264532773295e-74
POLQ	289.279701995621	-3.32588571351162	0.179977697821048	-18.4794324728976	3.02344795054076e-76	8.51739884335424e-74
MYBL2	2319.29588201625	-3.79384505457966	0.206105536477286	-18.4072932703473	1.1481948479278e-75	3.18702867985607e-73
RGS17	545.240766066203	-3.81140187633399	0.20736117775365	-18.3804987877819	1.88229947987434e-75	5.1739478518643e-73
EPN3	720.920688190675	-3.08973400706912	0.168225460320873	-18.366625367978	2.43062630706489e-75	6.64887845464938e-73
HMMR	615.378205469517	-3.04670944036631	0.165931098146035	-18.361292575096	2.68147991890322e-75	7.29981340999884e-73
STX1A	660.527395532435	-3.06952166471171	0.167260693712034	-18.3517214749592	3.1981712713018e-75	8.6647488069949e-73
AC004816.1	241.624129550868	-2.93237040121553	0.160650103534354	-18.2531497752098	1.95316338413363e-74	5.16803380669077e-72
TRPM8	317.039628048085	-6.61607343444639	0.362525482013748	-18.2499541761743	2.07082897678877e-74	5.45388930147384e-72
NCAPG	593.403134775626	-3.21693005936677	0.176579067625433	-18.2180713865284	3.71002406765026e-74	9.72575938919576e-72
RCC1	2920.21830794426	-1.77672930776829	0.0977108306262449	-18.1835452260608	6.96799879482957e-74	1.79343619890195e-71
PPP1R14B	4229.63683501756	-2.08242842604185	0.114624095480902	-18.1674578744118	9.34277749168069e-74	2.39378023841144e-71
NCAPH	670.237269871289	-2.97001748343198	0.163608876862918	-18.1531561146309	1.21230761446032e-73	3.07828279646642e-71
SPINK1	8157.63929316184	-6.82926184456808	0.376574436888084	-18.1352242095969	1.68012457591624e-73	4.24711491011969e-71
PRAME	1119.40034915037	-7.47530096758569	0.412713458816936	-18.1125689213383	2.53631583519917e-73	6.38294879343635e-71
ITPKA	633.46440399609	-5.13975683182972	0.283982665525549	-18.0988400201043	3.25449691046036e-73	8.15409880787201e-71
MDK	14045.6744691857	-3.08487452429641	0.171029830683602	-18.0370553602623	9.97177544112667e-73	2.45496440251459e-70
PKMYT1	448.979418474903	-2.98228305532036	0.165414398377459	-18.029162422216	1.15020801060186e-72	2.81945361005714e-70
HTR3A	390.226899846427	-5.91949844415111	0.328774550278143	-18.00473436628	1.78855751594144e-72	4.34657857436343e-70
C10orf88B	56.6402175058462	-3.58314488034727	0.199052865709728	-18.000971086608	1.91432862776008e-72	4.63234804351653e-70
BRIP1	353.10585007398	-2.70804902958279	0.150481895490197	-17.9958460834194	2.09990455274291e-72	5.05978703806445e-70
FGL1	1715.80516021468	-7.38743499435636	0.411700245722392	-17.9437225775612	5.37319648218017e-72	1.27836923364273e-69
AC140479.2	70.5841263220287	-4.20710554536827	0.234492983749548	-17.9412853983798	5.61413249439032e-72	1.32456099317649e-69
SLC2A1	8011.24445008094	-3.51277977709669	0.196345657708906	-17.8907943169519	1.39111158306779e-71	3.26847727301372e-69
ONECUT1	81.2359343156785	-6.68902503673387	0.374023329774555	-17.8839780950716	1.57209046227358e-71	3.67843183205699e-69
CDCA5	1031.49984804946	-2.99176622353298	0.167492605913521	-17.8620793868218	2.32802475736987e-71	5.42477670211158e-69
AC080037.2	75.0693163951762	-5.3118085424439	0.299015785011159	-17.7643081359255	1.33577007047195e-70	3.062212326737e-68
CDCA2	267.609041543342	-2.98766824618122	0.168201994192111	-17.7623830236452	1.38238752011552e-70	3.15630286044441e-68
RAB26	165.22296589711	-3.61847512027218	0.203750122421611	-17.7593764227765	1.45845870018546e-70	3.31661708591573e-68
MYO19	1935.17931329291	-1.65948202867191	0.093474288957198	-17.7533527902179	1.62364744657684e-70	3.67749652059867e-68
ESPL1	671.165842281068	-3.12071433917827	0.175998941314581	-17.7314381317799	2.39820633459276e-70	5.38873156706271e-68
RHBDL2	389.216000756481	-2.69182626094665	0.151880307409916	-17.7233395616034	2.7697071074225e-70	6.17448406498786e-68
HROB	298.347247717593	-2.76673727368701	0.156160533390447	-17.7172632138067	3.08563368486041e-70	6.85180085378572e-68
KISS1R	84.337070804259	-6.24274283358938	0.352783912555345	-17.6956562116761	4.52923560026333e-70	9.94044328020584e-68
MNX1	114.502497491909	-4.33443626037327	0.245032609002174	-17.6892221734243	5.07714140257819e-70	1.10999248949648e-67
AC020907.1	62.6950368042342	-5.9963819280556	0.339134183402277	-17.6814435746301	5.82845852184826e-70	1.26934859746591e-67
IQANK1	1788.03702274409	-2.30108533514179	0.130824052465878	-17.5891611043158	2.98260311418903e-69	6.44606560068091e-67
CCNA2	812.956393904012	-2.96296981168483	0.16857093650965	-17.576990868264	3.69682514418633e-69	7.92912980925784e-67
GINS2	547.934562324275	-2.90239768488212	0.165168245225302	-17.5723710143135	4.01054858407208e-69	8.53734221896607e-67
PLPP2	3810.43347761322	-2.46602536880938	0.140442168826521	-17.5590094443465	5.07531730189447e-69	1.07233121978535e-66
