MEdarkgrey	MEdarkred	MElightcyan1	MEpink	MEmagenta	MEyellow	MEgreenyellow	MEsalmon	MEplum2	MEviolet	MEred	MElightcyan	MEpaleturquoise	MElightyellow	MEdarkmagenta	MEorange	MEbisque4	MEthistle1	MEdarkslateblue	MEpurple	MEroyalblue	MEblue	MEgreen	MEdarkorange2	MEdarkgreen	MElightsteelblue1	MEfloralwhite	MEsienna3	MEblack	MEcyan	MEivory	MEdarkorange	MEskyblue	MElightgreen	MEskyblue3	MEgrey60	MEsteelblue	MEthistle2	MEtan	MEwhite	MEdarkolivegreen	MEdarkturquoise	MEmidnightblue	MEsaddlebrown	MEyellowgreen	MEbrown4	MEmediumpurple3	MEorangered4	MEplum1	MEbrown	MEturquoise	MEgrey
TCGA.44.2668.01A	-0.0808077487549897	0.0234486173227453	0.0280999511287495	-0.0348709865602986	0.0294018613645193	-0.0359855978597724	-0.0182879827054811	-0.0438179883477872	0.0609691776773217	0.0925711452968234	0.0407967092081828	0.0166505159470213	0.0800703510637394	0.0015030067491227	0.0699748389439918	0.0756001615769169	-0.0287005550539775	0.0452492747572647	-0.0339890827865617	0.0359420110922221	-0.0421898856533592	-7.99400933209862e-05	0.00614762519983594	-0.0293847945620002	-0.000804941622952861	0.013435683544901	-0.0288601933065665	0.0312810824852279	0.0565604509670433	0.0497792846204983	0.0494553991160085	-0.0202634982164697	-0.0162820725545682	-0.0214821382174747	0.00829667492344115	-0.0342711009477395	-0.022612179611245	0.0437753216209334	0.0152807518917593	0.0316559775951897	0.0228283345653193	0.0337470706240864	0.0575309016025528	-0.00544584130014067	0.01390939376525	0.00814149223692614	0.0313883647085556	0.0166040158470199	-0.0341969868573184	-0.0399103525119428	-0.0240993634051772	0.0191996952795679
TCGA.97.A4M3.01A	0.0433363148885583	-0.0015937409189114	0.106349503205139	-0.040382595964083	-0.00802515268301425	0.00933712526433195	-0.0176684331687306	-0.024677967293109	-0.083549195834349	-0.0635490064225025	-0.0569276742846703	-0.0483771548531434	-0.0744636075780475	-0.0316258528006493	0.0253485117727442	-0.0131855198749684	0.0365299097477775	0.00632837829860797	0.0311707982977524	0.000876622638664571	-0.0488094181886889	0.00886994711169273	0.0380263954909993	-0.0742023507123033	-0.0215670701916555	0.000161253906726047	-0.0288409261115919	-0.0297933809889962	-0.0370838240695406	-0.0120592065758286	-0.00806206198639939	-0.0194159122983861	0.0913154612295536	-0.0273181141943067	0.00341223920238959	0.0417421847111085	-0.0151442435610285	-0.0387419944263553	0.0159469038036853	0.0165781453387221	-0.00523480552033921	0.0112450111669402	-0.0378116487505979	-3.78633583492905e-05	0.00269207756451644	0.00589740845974675	-0.0371900045729602	-0.0372488961574825	-0.0398678577256215	0.0223887919248063	0.00137695336230002	-0.0401581988078029
TCGA.55.8091.01A	-0.0011130066766096	0.0208226614710704	0.0266369922461569	0.0550463997136494	0.0381438154006054	-0.00830211264744047	0.0364057476882075	0.0064024830218564	-0.00265168923377424	0.0402552969715038	0.0201612494409773	-0.00468651233773307	0.02343851757688	0.0343033771728166	0.0513629984031976	0.0660569747965438	0.0233306610577922	-0.0283003350308875	-0.0324974127349839	-0.0163231652601863	0.00509166009026749	-0.0180064909837798	0.000352877439710955	-0.0420232571440363	-0.00319495707176643	0.050603573011596	-0.0160953415512546	-0.0414186442882888	-0.01849150972834	-0.0219872064483686	0.0278907745854703	-0.0225979212871447	0.00892653335859785	-0.0248105490854526	-0.00681410994887219	-0.0186274056257633	-0.00334191517859343	0.0781330838576724	-0.00746115616768172	-0.0070203155563436	-0.0123992031541627	-0.035908936550049	-0.00594109347487353	-0.019365612579529	0.0510144026047735	0.0502965895437676	-0.011221713109811	-0.0115928073857948	0.00168809220490177	-0.00539911800543048	-0.000697602213606208	0.0321702582507093
TCGA.91.6829.01A	-0.00963833861752254	0.0300690310795448	-0.0538432123349058	-0.0255437394961808	0.0765294808704939	-0.00614310251816731	0.0118213135087003	-0.0134462998376063	0.0019134754336088	-0.0006764447314846	-0.0175682568426578	-0.0570320165305409	-0.0429144967927927	-0.0225749365303991	0.0757026215056275	0.0837113593177923	-0.0221281651975517	0.0398505865788954	-0.0250197284093609	0.0164291758187098	0.00759283122727464	-0.0300650219824353	-0.0259007033918542	0.0279780210057074	-0.0217336659895286	-0.0290986860987512	0.021593464494537	-0.00954813885537267	0.0321904245201651	0.00584735268837386	-0.0342639073451646	-0.0100492416515974	-0.0200945231569836	0.0475213577418141	0.0193023268428358	-0.00381788018681951	-0.00136838000997877	0.00882210147781322	0.0463660990991913	0.0417743129158591	0.0112221199617614	0.0502306255663091	0.0423400927011105	0.00375573022504216	-0.0174713893800392	0.057768021349771	-0.0205392491769968	0.0291971029588057	0.0723111631737405	-0.0378090014457091	-0.00646829259327329	-0.010588048351032
TCGA.64.1680.01A	0.0467864811672613	-0.0471269184504226	0.0232411496398676	0.0570665797977711	-0.0611138902556117	-0.0195406459959895	0.0317426888745508	-0.00216166329865544	-0.0459976629438977	-0.0467401076523622	-0.0477734987458221	-0.0600874076974338	-0.0337836984298321	-0.0424208051507624	-0.0957841694794004	-0.0742674659589627	-0.0600793335559551	0.0145665543600437	0.0653329681507191	0.0838181355335255	-0.00332278225825654	0.044907529217136	-0.0287426134553327	0.0252378594263459	0.0858136175669953	0.107214468014791	0.0357099985050666	0.0449198923992211	-0.0365021293646177	0.0412481939234022	-0.0100226140982655	-0.0232400286577859	-0.02378092940529	-0.035787679063395	-0.0600388673327745	-0.0252715868897944	-0.0406389525031676	0.0101515626392601	-0.0529396840782255	-0.07141561266156	0.0600977630508223	0.0266918474085846	-0.0305508716980561	0.010542846479785	0.0650125136899971	-0.0178565094768875	-0.0269217496148222	-0.0401009153803548	4.33300081733976e-05	-0.034808639731159	-0.030811123544575	0.0674723297202265
TCGA.MP.A4SV.01A	0.021547213308428	-0.0148935049580814	-0.01634066485331	0.00130031115200128	-0.0341754853519586	-0.0299851361385843	-0.0181733339364222	-0.0164149268988432	0.0379002161484599	0.00587914670614423	-0.0111854940754475	0.0357095304664246	0.0154818901648272	0.0367502758336186	-0.0116301594007488	0.00383019078352704	-0.0226518649956707	0.00121040193409438	-0.00898620482236846	-0.0206051895684791	-0.0258032506416904	-0.0133095908201664	0.0208026432919079	-0.0131334318554153	-0.0395640837317137	-0.036910292651861	-0.0290764006385034	0.0052411526957015	0.0304223597376309	-0.00680605945033378	-0.00203394566917161	0.00320026085494702	-0.023959672545228	0.0588769457255709	0.0254552542752637	0.00199583598657001	-0.011909783284445	0.050927174920085	0.0241303226748815	0.026272651079372	-0.0123678004334911	-0.00435321452419719	0.0132875799096547	-0.0182138177989913	-0.023580358494795	-0.0471047020300577	0.0039888193102622	0.00308882779457975	-0.0145381148029219	0.0569106638145036	0.0281903833434368	0.0356504454278801
TCGA.05.4397.01A	-0.0646172945060766	-0.0339156137913904	-0.0565184292062203	-0.0220127414774412	-0.0551987836707063	-0.0260178970560248	-0.0660781028680162	-0.0141514431720003	0.0741164184950771	0.0119348037729414	-0.0111009361893332	-0.0444778416017492	0.0226489673276729	-0.0266188000911982	-0.00844672351183913	-0.0156755721679485	-0.00750986289299549	-0.0213765827913088	-0.0701341592514707	-0.010040467848742	0.116536481361848	0.0506141686664313	0.00359740672579479	0.0652747867631862	0.0274900752376344	0.0210716489593054	0.009616585229279	-0.0101508027866703	0.075467615700993	0.037676155249205	0.0665002636692302	0.00916833097809384	0.0555827450592435	0.0531849828378174	0.0244295195322516	0.00135430884128609	0.0108651715242474	0.0771928678891481	-0.041519122892141	-0.0241719093934694	-0.0191778135399169	-0.0150856464831199	0.0286859868931941	-0.0702327130083254	-0.0411681460489902	-0.0110094694058903	0.0337389747489054	0.00135085013725032	-0.026851265116139	0.00732533656589214	-0.0199403773232281	-0.0253762345121482
TCGA.73.4659.01A	0.0207916475748072	0.0106643738433422	0.017436878477354	-0.0111769762462222	0.012024054675373	0.010153000209867	-0.0174594131977981	-0.0256270304100509	-0.0530002815321843	0.00479154822327497	0.000984359734167123	-0.0451728054046394	-0.0506579973996038	-0.0132548788979127	0.0365531734491084	0.0138500725139848	-0.0261422951622348	-0.00296969959237434	-0.0291897609005626	-0.0211425672777106	-0.00115614373652535	0.0175925349184162	0.0153304455215688	0.00914059618257916	-0.00349451401151543	0.021097962176584	-0.0341046671428861	0.0178600715372209	0.00904614972673017	0.017142718293321	0.0411852094120801	-0.0136259001125997	0.0352713337928138	-0.0267241478371325	0.0423548775785688	0.105700838296569	0.00813571759196148	0.0520920488128653	-0.00686721667175371	0.00896613083093365	-0.0287079621327915	0.0203169699576826	4.44403255688527e-05	0.00557182673986809	0.0216628430355553	-0.0323153071744849	-0.0249264221467268	-0.0430676204964576	-0.0589661184242152	-0.0157267438303457	-0.0228830273713697	-0.0343768797206678
TCGA.55.6982.11A	0.0194706642937128	0.0660770594919416	0.00696154598093931	0.0908960277055441	0.0579768921861474	0.0989168660833669	0.0625761265330027	0.0783849593395499	0.0257564078555635	-0.0256435271049259	0.0597051090077681	0.0383811545739793	0.0376910523310572	-0.0443865661843599	-0.0111589507362485	-0.0537674089601833	-0.00721537877329373	-0.0462383455073914	-0.0149157047502747	-0.0413442762687586	-0.00890385591345558	-0.0663575960491264	-0.0168022412249468	-0.00752942527097566	-0.00770398894758801	-0.0179705435879883	-0.067681822784607	-0.0424288389015988	-0.0695192952380867	-0.0726589175764052	-0.0563233732097002	-0.0285601319869212	-0.0362015346691064	-0.0295564439379104	-0.0367591265584502	-0.0309146281906699	-0.00613276777848505	-0.0390669628454341	0.00934589671894352	0.00649287879151056	-0.0260581391199631	-0.0535714254613564	-0.00731294877954167	0.0344631934350772	0.00264505871942207	0.00813086702253369	-0.037108825910705	-0.0043555160029423	0.0210572756597054	0.00760121050523006	0.0237406823775238	-0.0497039263330389
TCGA.91.A4BD.01A	0.060568105279746	-0.0546500097673049	-0.00590188725389145	0.0876003626857919	-0.0825359730912857	0.00467927601311319	0.0169743507946977	0.0216657414573325	0.0608792586054734	-0.00871108321349538	0.0189656231667893	-0.0192588046917411	-0.00525621406383425	-0.00388080851516581	-0.101543751623385	-0.0924487940890341	0.0209134694188284	-0.0146752497349624	0.134702356706813	0.0146249289400986	0.0714919319007169	0.0483578354194327	0.00573990618905529	-0.039093085675773	0.0248578796714395	0.102140547596432	0.000474141940985234	-0.0267360957551524	-0.0558549399646426	-0.025747363198561	0.0238617646701585	-0.000545571113916329	-0.0275213862900327	-0.0371197615085531	-0.0543513667076805	-0.0381584130655197	-0.0216150648468156	0.0575021906425077	-0.0852718262692345	-0.100330994975631	0.00752416711456402	-0.0795933139270413	-0.0849643385255145	-0.0620009212031842	0.0366964113853556	-0.0788934303387854	-0.0122988404626983	-0.0186082417685531	0.00504465458951285	0.0342458924854976	-0.0170305454606433	0.0454898753595119
